,Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Battery Power Output [MW],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],"Turbine H2 Input [kg]""",Tank Holdup [kg],Turbine Power Output [MW]
0,786.1672940110826,782.7,782.7,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116640.88454786045,0.0
1,772.2672940110826,768.8000000000001,768.8000000000001,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116703.98001760953,0.0
2,769.6672940110826,766.2,766.2,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116767.07548735863,0.0
3,736.8672940110827,733.4,733.4,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116830.17095710772,0.0
4,768.9672940110827,765.5,765.5,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116893.26642685682,0.0
5,779.2672940110826,775.8000000000001,775.8000000000001,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,116956.36189660591,0.0
6,772.2672940110826,768.8000000000001,768.8000000000001,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117019.457366355,0.0
7,788.7672940110826,785.3000000000001,785.3000000000001,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117082.55283610409,0.0
8,772.1672940110826,768.7,768.7,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117145.64830585319,0.0
9,732.9672940110827,729.5,729.5,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117208.74377560228,0.0
10,661.9672940110827,658.5,658.5,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117271.83924535138,0.0
11,498.8672940110826,495.40000000000003,495.40000000000003,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117334.93471510046,0.0
12,274.3672940110826,270.9,270.9,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117398.03018484956,0.0
13,53.2,53.2,53.2,0.0,601.4389255689808,0.0,-0.0,0.0,-0.0,0.0,0.0,117398.03018484956,0.0
14,47.1,47.1,47.1,0.0,601.4389255689808,0.0,-0.0,0.0,-0.0,0.0,0.0,117398.03018484956,0.0
15,94.7,94.7,94.7,0.0,601.4389255689808,0.0,-0.0,0.0,-0.0,0.0,0.0,117398.03018484956,0.0
16,153.9672940110826,150.5,150.5,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117461.12565459865,0.0
17,118.66729401108259,115.2,115.2,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117524.22112434775,0.0
18,113.0672940110826,109.60000000000001,109.60000000000001,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117587.31659409685,0.0
19,217.3672940110826,213.9,213.9,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117650.41206384593,0.0
20,290.76729401108264,287.3,287.3,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117713.50753359502,0.0
21,389.3672940110826,385.90000000000003,385.90000000000003,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117776.60300334412,0.0
22,279.0672940110826,275.6,275.6,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117839.69847309322,0.0
23,399.06729401108265,395.6,395.6,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117902.7939428423,0.0
24,497.76729401108264,494.3,494.3,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,117965.8894125914,0.0
25,283.6672940110826,280.2,280.2,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118028.98488234049,0.0
26,237.8672940110826,234.4,234.4,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118092.08035208959,0.0
27,179.6672940110826,176.20000000000002,176.20000000000002,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118155.17582183868,0.0
28,277.46729401108263,274.0,274.0,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118218.27129158776,0.0
29,537.5672940110826,534.1,534.1,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118281.36676133686,0.0
30,636.6672940110826,633.2,633.2,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118344.46223108596,0.0
31,586.3672940110827,582.9,582.9,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118407.55770083505,0.0
32,656.4672940110827,653.0,653.0,0.0,601.4389255689808,0.0,3.4672940110825903,63.09546974909428,63.09546974909428,0.0,0.0,118470.65317058415,0.0
